module,hce,analysis,measure,value,lb,ub,source
adult,no_hce,tariff_1,csmf_accuracy,69.5,69,69.9,"Serina, tariff_2: Table 3"
adult,w_hce,tariff_1,csmf_accuracy,74.5,73.9,75.3,"Serina, tariff_2: Table 3"
child,no_hce,tariff_1,csmf_accuracy,64.2,63.5,65.1,"Serina, tariff_2: Table 3"
child,w_hce,tariff_1,csmf_accuracy,70.9,70.4,71.5,"Serina, tariff_2: Table 3"
neonate,no_hce,tariff_1,csmf_accuracy,66.3,65.5,67.1,"Serina, tariff_2: Table 3"
neonate,w_hce,tariff_1,csmf_accuracy,67.9,67,68.9,"Serina, tariff_2: Table 3"
adult,no_hce,tariff_1,cccsmf_accuracy,17.1,15.8,18.2,"Serina, tariff_2: Table 3"
adult,w_hce,tariff_1,cccsmf_accuracy,30.7,29.1,32.9,"Serina, tariff_2: Table 3"
child,no_hce,tariff_1,cccsmf_accuracy,2.7,0.8,5.2,"Serina, tariff_2: Table 3"
child,w_hce,tariff_1,cccsmf_accuracy,20.9,19.6,22.6,"Serina, tariff_2: Table 3"
neonate,no_hce,tariff_1,cccsmf_accuracy,8.4,6.3,10.6,"Serina, tariff_2: Table 3"
neonate,w_hce,tariff_1,cccsmf_accuracy,12.8,10.3,15.5,"Serina, tariff_2: Table 3"
adult,no_hce,tariff_2,csmf_accuracy,71.7,71.1,72.1,"Serina, tariff_2: Table 3"
adult,w_hce,tariff_2,csmf_accuracy,77,76.6,77.5,"Serina, tariff_2: Table 3"
child,no_hce,tariff_2,csmf_accuracy,74.4,73.6,75.1,"Serina, tariff_2: Table 3"
child,w_hce,tariff_2,csmf_accuracy,78.3,77.6,78.7,"Serina, tariff_2: Table 3"
neonate,no_hce,tariff_2,csmf_accuracy,81.3,80.7,82.4,"Serina, tariff_2: Table 3"
neonate,w_hce,tariff_2,csmf_accuracy,82.8,81.9,83.5,"Serina, tariff_2: Table 3"
adult,no_hce,tariff_2,cccsmf_accuracy,23.1,21.6,24.3,"Serina, tariff_2: Table 3"
adult,w_hce,tariff_2,cccsmf_accuracy,37.6,36.5,38.9,"Serina, tariff_2: Table 3"
child,no_hce,tariff_2,cccsmf_accuracy,30.5,28.4,32.4,"Serina, tariff_2: Table 3"
child,w_hce,tariff_2,cccsmf_accuracy,41.1,39.2,42,"Serina, tariff_2: Table 3"
neonate,no_hce,tariff_2,cccsmf_accuracy,49.2,47.4,52.2,"Serina, tariff_2: Table 3"
neonate,w_hce,tariff_2,cccsmf_accuracy,53.1,50.9,55.1,"Serina, tariff_2: Table 3"
adult,no_hce,tariff_1,mean_ccc,34.3,34.1,34.5,"Serina, tariff_2: Table 4"
adult,w_hce,tariff_1,mean_ccc,44.5,44.2,44.7,"Serina, tariff_2: Table 4"
child,no_hce,tariff_1,mean_ccc,28.8,28.4,29.2,"Serina, tariff_2: Table 4"
child,w_hce,tariff_1,mean_ccc,39,38.4,39.4,"Serina, tariff_2: Table 4"
neonate,no_hce,tariff_1,mean_ccc,21.6,21.2,22.2,"Serina, tariff_2: Table 4"
neonate,w_hce,tariff_1,mean_ccc,23.9,23.6,24.4,"Serina, tariff_2: Table 4"
adult,no_hce,tariff_2,mean_ccc,37.8,37.6,37.9,"Serina, tariff_2: Table 4"
adult,w_hce,tariff_2,mean_ccc,50.5,50.2,50.7,"Serina, tariff_2: Table 4"
child,no_hce,tariff_2,mean_ccc,44.6,44.2,45,"Serina, tariff_2: Table 4"
child,w_hce,tariff_2,mean_ccc,52.5,52.1,53,"Serina, tariff_2: Table 4"
neonate,no_hce,tariff_2,mean_ccc,42.3,41.9,42.6,"Serina, tariff_2: Table 4"
neonate,w_hce,tariff_2,mean_ccc,45.1,44.6,45.4,"Serina, tariff_2: Table 4"
adult,no_hce,tariff_2_short,mean_ccc,43.3,43.1,43.5,"Serina, Shortened Instrument: Table 2"
adult,w_hce,tariff_2_short,mean_ccc,46.6,46.5,46.8,"Serina, Shortened Instrument: Table 2"
child,no_hce,tariff_2_short,mean_ccc,44.5,44.1,45,"Serina, Shortened Instrument: Table 2"
child,w_hce,tariff_2_short,mean_ccc,51.8,51.4,52.1,"Serina, Shortened Instrument: Table 2"
neonate,no_hce,tariff_2_short,mean_ccc,40.2,40,40.5,"Serina, Shortened Instrument: Table 2"
neonate,w_hce,tariff_2_short,mean_ccc,43.4,43,43.8,"Serina, Shortened Instrument: Table 2"
adult,no_hce,tariff_2_short,csmf_accuracy,74.6,74,75.2,"Serina, Shortened Instrument: Table 2"
adult,w_hce,tariff_2_short,csmf_accuracy,76.2,75.7,76.7,"Serina, Shortened Instrument: Table 2"
child,no_hce,tariff_2_short,csmf_accuracy,74.5,73.7,75.2,"Serina, Shortened Instrument: Table 2"
child,w_hce,tariff_2_short,csmf_accuracy,78,77.5,78.7,"Serina, Shortened Instrument: Table 2"
neonate,no_hce,tariff_2_short,csmf_accuracy,81.1,80.1,81.8,"Serina, Shortened Instrument: Table 2"
neonate,w_hce,tariff_2_short,csmf_accuracy,82.1,81.4,83,"Serina, Shortened Instrument: Table 2"
